transicao,CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,taxa_real,taxa_prev,mat_t1,alunos_real,alunos_prev,residuo_alunos
2022-2023,26093570,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR BARROS GUIMARAES,Glória do Goitá,0.0,0.2922905683517456,362.0,0.0,1.0580918574333191,-1.0580918574333191
2022-2023,26093600,ESCOLA PAROQUIAL DE MENORES,Glória do Goitá,0.3,0.3268800377845764,594.0,1.782,1.941667424440384,-0.15966742444038395
2022-2023,26088851,ESCOLA DE REFERENCIA EM ENSINO MEDIO AUGUSTO GONDIM,Goiana,0.0,0.18940898776054382,526.0,0.0,0.9962912756204605,-0.9962912756204605
2022-2023,26088886,ESCOLA DE REFERENCIA EM ENSINO MEDIO DOUTOR JOAO ALFREDO,Goiana,0.0,0.20168492197990417,497.0,0.0,1.0023740622401236,-1.0023740622401236
2022-2023,26088894,ESCOLA DE REFERENCIA EM ENSINO MEDIO BENIGNO PESSOA DE ARAUJO,Goiana,0.0,0.2922905683517456,434.0,0.0,1.268541066646576,-1.268541066646576
2022-2023,26089238,ESCOLA CEL JOSE PINTO DE ABREU,Goiana,0.0,0.21437248587608337,153.0,0.0,0.32798990339040757,-0.32798990339040757
2022-2023,26089424,ESCOLA DE REFERENCIA EM ENSINO MEDIO FREI CAMPO MAYOR,Goiana,0.0,0.2922905683517456,527.0,0.0,1.5403712952136994,-1.5403712952136994
2022-2023,26525798,ESCOLA TECNICA ESTADUAL ADERICO ALVES DE VASCONCELOS,Goiana,0.0,0.18940898776054382,478.0,0.0,0.9053749614953995,-0.9053749614953995
2022-2023,26525780,ESCOLA DE REFERENCIA EM ENSINO MEDIO GOVERNADOR MIGUEL ARRAES DE ALENCAR,Granito,0.0,1.4435652494430542,253.0,0.0,3.652220081090927,-3.652220081090927
2022-2023,26056550,ESCOLA AARAO LINS DE ANDRADE,Gravatá,2.3,0.2392432987689972,547.0,12.581,1.3086608442664145,11.272339155733585
2022-2023,26056577,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR ANTONIO FARIAS,Gravatá,0.0,0.21521155536174774,748.0,0.0,1.609782434105873,-1.609782434105873
2022-2023,26056623,ESCOLA DE REFERENCIA EM ENSINO MEDIO CLETO CAMPELO,Gravatá,0.0,0.32823240756988525,273.0,0.0,0.8960744726657868,-0.8960744726657868
2022-2023,26056658,ESCOLA DE REFERENCIA EM ENSINO MEDIO DEVALDO BORGES,Gravatá,0.0,0.24048639833927155,475.0,0.0,1.1423103921115398,-1.1423103921115398
2022-2023,26176882,ESCOLA TECNICA ESTADUAL PROFESSOR JOSE LUIZ DE MENDONCA,Gravatá,0.0,0.3187258243560791,472.0,0.0,1.5043858909606933,-1.5043858909606933
2022-2023,26076780,ESCOLA DE REFERENCIA EM ENSINO MEDIO FRANCISCO PEREIRA DA COSTA,Iati,0.0,0.37181931734085083,671.0,0.0,2.494907619357109,-2.494907619357109
2022-2023,26026902,ESCOLA APOLONIO ALVES DA SILVA,Ibimirim,0.0,1.123559594154358,78.0,0.0,0.8763764834403991,-0.8763764834403991
2022-2023,26027186,ESCOLA INDIGENA PEDRO FERREIRA DE QUEIROZ,Ibimirim,12.3,15.879465103149414,65.0,7.995000000000001,10.32165231704712,-2.3266523170471185
2022-2023,26027615,ESCOLA IRACEMA MOURA DE MORAES VERAS,Ibimirim,0.0,0.8497515320777893,288.0,0.0,2.447284412384033,-2.447284412384033
2022-2023,26027828,ESCOLA DE REFERENCIA EM ENSINO MEDIO PEDRO BEZERRA DE MELO,Ibimirim,0.0,0.6479648351669312,526.0,0.0,3.408295032978058,-3.408295032978058
2022-2023,26027836,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL INOCENCIO CORREIA LIMA,Ibimirim,0.0,1.095700979232788,112.0,0.0,1.2271850967407225,-1.2271850967407225
2022-2023,26084317,ESCOLA DE REFERENCIA EM ENSINO MEDIO MANOEL MOREIRA DA COSTA,Ibirajuba,0.0,0.2402740865945816,233.0,0.0,0.5598386217653751,-0.5598386217653751
2022-2023,26105195,ESCOLA DE REFERENCIA EM ENSINO MEDIO BRASILINO JOSE DE CARVALHO,Igarassu,0.0,0.1748511642217636,302.0,0.0,0.5280505159497261,-0.5280505159497261
2022-2023,26105250,ESCOLA DE REFERENCIA EM ENSINO MEDIO EURICO PFISTERER,Igarassu,0.0,0.1811646968126297,420.0,0.0,0.7608917266130448,-0.7608917266130448
2022-2023,26105314,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAO PESSOA GUERRA,Igarassu,0.0,0.7345680594444275,1037.0,0.0,7.617470776438713,-7.617470776438713
